question,answer,preprocessed_answer,sentiment
Q1: What have you enjoyed about these workshops?,"A1: The lesson and the games that we played and we had to say in circle to say in order 3,4 it was fun",lesson game play say circl say order fun,0
"Q1: Overall, I did/didn't enjoy today's workshop because...",A1: I learnt that you can rap about anything and with a new rhythm and what spoken word really means.,learnt rap anyth new rhythm spoken word realli mean,0
Q1. What have you enjoyed about these workshops?,A1. Ryming and writing spoken words and the games!,ryme write spoken word game,0
Q1. What have you enjoyed about these workshops?,A1. writing spoken word and playing games.,write spoken word play game,0
Q1. What have you enjoyed about these workshops?,A1. That you get to play games and perform poems.,get play game perform poem,0
Q1. What have you enjoyed about these workshops?,A1. The games and poems that we done.,game poem done,0
Q1. What have you enjoyed about these workshops?,A1. Games and the poetry.,game poetri,0
Q1: What have you enjoyed about these workshops?,A1: Learning how to write a poem and playing games.,learn write poem play game,0
Q1: What have you enjoyed about these workshops?,A1: The games and poems.,game poem,0
Q1: What have you enjoyed about these workshops?,A1: Learning how to write a poem and playing games.,learn write poem play game,0
Q1: What have you enjoyed about these workshops?,"A1: The games that we played. Example: opposite game, grandmother steps.",game play exampl opposit game grandmoth step,0
Q1: What have you enjoyed about these workshops?,A1: The games like the one we played today.,game like one play today,0
Q1: What have you enjoyed about these workshops?,A: The games.,game,0
Q1: What have you enjoyed about these workshops?,A: When we play games.,play game,0
Q1: What have you enjoyed about these workshops?,A1: The agree or disagree game and the freestyle.,agre disagre game freestyl,1
Q1: What have you enjoyed about these workshops?,A1: It interests me and made me less shy,interest made less shi,1
Q1: What have you enjoyed about these workshops?,A1: yes because we do games freestyles and lots of fun.,ye game freestyl lot fun,1
Q1: What have you enjoyed about these workshops?,A1: I have enjoyed about some of us that do some work,enjoy us work,1
Q1: What have you enjoyed about these workshops?,A1: I have lots of fun in the workshops,lot fun workshop,1
Q1: What have you enjoyed about these workshops?,A1: I__e enjoyed making poems and especially rhyming,ive enjoy make poem especi rhyme,1
Q1: What have you enjoyed about these workshops?,A1: The rhyming and the good rhyme from classmates and teacher,rhyme good rhyme classmat teacher,1
Q1: What have you enjoyed about these workshops?,A1: I have found this workshop enjoyable because we get to write,found workshop enjoy get write,1
Q1: What have you enjoyed about these workshops?,A1: I have enjoyed the exercises in the workshop,enjoy exercis workshop,1
Q1: What have you enjoyed about these workshops?,A1: That you could write your own poem and the exercises were fun,could write poem exercis fun,1
Q1: What have you enjoyed about these workshops?,"A1: Yossi was so fun, I was so scared when I performed my sentence",yossi fun scare perform sentenc,1
Q1: What have you enjoyed about these workshops?,A1: I enjoyed everything about these workshops,enjoy everyth workshop,1
Q1: What have you enjoyed about these workshops?,"A1: I have enjoyed everything, especially these one's jokes",enjoy everyth especi one joke,1
Q1: What have you enjoyed about these workshops?,A1: I have enjoyed everything and it was fun also fantastic many good words,enjoy everyth fun also fantast mani good word,1
Q1: What have you enjoyed about these workshops?,A1: I have enjoyed that I can write anything and I have a chance to perform,enjoy write anyth chanc perform,1
Q1: What have you enjoyed about these workshops?,A: I've enjoyed making poems and saying them in different voices.,ive enjoy make poem say differ voic,1
Q1: What have you enjoyed about these workshops?,A: I like that I am free to do/write whatever I want and.,like free dowrit whatev want,1
Q1: What have you enjoyed about these workshops?,A: I enjoyed that we do a lot of activities and we get a lot of energy.,enjoy lot activ get lot energi,1
Q1: What have you enjoyed about these workshops?,A: I have enjoyed everything because we get to share our ideas as well as our opinions.,enjoy everyth get share idea well opinion,1
Q1: What have you enjoyed about these workshops?,A: I like that it is fun and it makes us feel confident and energetic.,like fun make us feel confid energet,1
Q1: What have you enjoyed about these workshops?,A: I have enjoyed when we were sharing our creativity.,enjoy share creativ,1
Q1: What have you enjoyed about these workshops?,A: I have enjoyed writing poems and expressing my feelings in them.,enjoy write poem express feel,1
Q1: What have you enjoyed about these workshops?,A: That Yose is so fun to be around and cares about your ideas a lot.,yose fun around care idea lot,1
Q1: What have you enjoyed about these workshops?,A1: I enjoyed everything Yossi has taught us.,enjoy everyth yossi taught us,1
Q1: What have you enjoyed about these workshops?,A1: I have enjoyed that the workshops are very fun and that they help us to learn how to rhyme.,enjoy workshop fun help us learn rhyme,1
Q1: What have you enjoyed about these workshops?,A1: I enjoyed that we all got to be ourselves.,enjoy got,1
Q1: What have you enjoyed about these workshops?,A1: I've enjoyed how Yossi made us be more brave and the rap and spoken word we did.,ive enjoy yossi made us brave rap spoken word,1
Q1: What have you enjoyed about these workshops?,"A1: I've enjoyed everything, and learning. I can spread my creativity.",ive enjoy everyth learn spread creativ,1
Q1: What have you enjoyed about these workshops?,A1: I__e enjoyed the fact that we could say what was on our minds and speak out to the class.,ive enjoy fact could say mind speak class,1
Q1: What have you enjoyed about these workshops?,A1: I have enjoyed Yossi because he is really funny and creative and always makes me really happy.,enjoy yossi realli funni creativ alway make realli happi,1
Q1: What have you enjoyed about these workshops?,A1: The thing I enjoy about this workshop is that it really helps with anxiety.,thing enjoy workshop realli help anxieti,1
Q1: What have you enjoyed about these workshops?,A1: I have enjoyed how Yossi cooperated with us and never put pressure on us.,enjoy yossi cooper us never put pressur us,1
Q1: What have you enjoyed about these workshops?,A1: I have enjoyed that there was creativity because it helped me in English.,enjoy creativ help english,1
Q1: What have you enjoyed about these workshops?,A1: I enjoyed the service and everything about the workshop. Yossi has provided us with great care.,enjoy servic everyth workshop yossi provid us great care,1
Q1: What have you enjoyed about these workshops?,A1: I have enjoyed when we told our poems to other people and when we talk about anything.,enjoy told poem peopl talk anyth,1
Q1: What have you enjoyed about these workshops?,A1: I have enjoyed everything about it. It was so amazing and good fun and helped in our writing.,enjoy everyth amaz good fun help write,1
Q1: What have you enjoyed about these workshops?,"A1: I have enjoyed writing poems, doing different fun activities and practicing our poems.",enjoy write poem differ fun activ practic poem,1
Q1: What have you enjoyed about these workshops?,A1: I enjoyed EVERYTHING. I loved that we did many things like writing whatever was in my imagination.,enjoy everyth love mani thing like write whatev imagin,1
Q1: What have you enjoyed about these workshops?,A1: I have enjoyed when everyone was meditating.,enjoy everyon medit,1
