question,answer,preprocessed_answer,sentiment
Q3: What would you improve about these workshops?,A3: We need to improve the games,need improv game,0
Q3: What would you improve about these workshops?,A3: I would say that we should improve more games.,would say improv game,0
Q3: What would you improve about these workshops?,A3: I would make it so that we do the workshops outside because we don__ want to disturb others.,would make workshop outsid dont want disturb other,0
Q3: My favourite part of the session was_,A: Listening to other's poems because it was really satisfying when the lines rhymed so well.,listen other poem realli satisfi line rhyme well,0
Q3: My favourite part of the session was_,A: Hearing others read because there were many different topics.,hear other read mani differ topic,0
Q3: My favourite part of the session was...,A3: The performance of others.,perform other,0
Q3. What would you improve about these workshops?,A3. make it more fun like playing games,make fun like play game,0
Q3: What would you improve about these workshops?,A3: More active games like the ones we played.,activ game like one play,0
Q3: What would you improve about these workshops?,A3: To tell everyone 1 time in 2 weeks just telling games.,tell everyon time week tell game,0
Q3: What would you improve about these workshops?,A: More games.,game,0
Q3: What would you improve about these workshops?,A: I__ make it everyday.,id make everyday,0
Q3: What would you improve about these workshops?,A: I would improve by being less shy and being more resilient.,would improv less shi resili,0
Q3: What would you improve about these workshops?,A3: That we could show emotions behind yourself,could show emot behind,0
Q3: What would you improve about these workshops?,"A3: Less boring, more rapping, don__ shout.",less bore rap dont shout,0
Q3: What would you improve about these workshops?,A3: More games to play.,game play,0
Q3: What would you improve about these workshops?,A3: The games.,game,0
Q3: What would you improve about these workshops?,A3: I would improve the games.,would improv game,0
Q3 What would you improve about these workshops?,A3 I would like some new games and more activities.,would like new game activ,0
Q3: What would you improve about these workshops?,A: I would improve the workshop. I think we could add more group games to help with confidence.,would improv workshop think could add group game help confid,0
Q3: What would you improve about these workshops?,A3: I think that the children could all love to do exercise,think children could love exercis,1
Q3: What would you improve about these workshops?,A3: To make it fun,make fun,0
Q3: What would you improve about these workshops?,A3: It was great but I think that we could have more time,great think could time,1
Q3: What would you improve about these workshops?,A: I wouldn't improve anything because it's fun.,wouldnt improv anyth fun,1
Q3: My favourite part of the session was_,A: Making my sushi poem because it was fun. ,make sushi poem fun,1
Q3: My favourite part of the session was_,A: Listening to everyone's poems because they were all really good and interesting.,listen everyon poem realli good interest,1
Q3: My favourite part of the session was_,A: The performance because everyone's pieces were so good.,perform everyon piec good,1
Q3: My favourite part of the session was_,A: Listening to them because it was fun and interesting.,listen fun interest,1
Q3: My favourite part of the session was...,A3: Listening to Jack's free style.,listen jack free style,1
Q3: My favourite part of the session was...,A3: Hearing other people's poetry because it was good.,hear peopl poetri good,1
Q3: My favourite part of the session was...,A3: Performing. Because... It was really fun.,perform realli fun,1
Q3: What would you improve about these workshops?,A: Make them more fun.,make fun,1
Q3: What would you improve about these workshops?,A: To be brave and say my spoken word.,brave say spoken word,1
Q3: What would you improve about these workshops?,A: To be kind and helpful to people.,kind help peopl,1
Q3. What would you improve about these workshops?,A3. To better improvement raps than just thinking of raps.,better improv rap think rap,1
Q3. What would you improve about these workshops?,A3. Speaking out loud more.,speak loud,1
Q3. What would you improve about these workshops?,A3. I wouldn__ improve anything because its fine the way it is,wouldnt improv anyth fine way,1
Q3. What would you improve about these workshops?,A3. You should add more warming up voice games.,add warm voic game,1
Q3. What would you improve about these workshops?,A3. How to be brave and present my work,brave present work,1
Q3. What would you improve about these workshops?,A3. You can have fun.,fun,1
Q3 What would you improve about these workshops?,A3 you should have a go and your poet so you can get better,go poet get better,1
Q3 What would you improve about these workshops?,A3 I would improve our vocabulary for trying to make it better,would improv vocabulari tri make better,1
Q3. What would you improve about these workshops?,A3. Everything was okay.,everyth okay,1
Q3: What would you improve about these workshops?,A3: To speak with action in every line of my poem.,speak action everi line poem,1
Q3: What would you improve about these workshops?,A3: To be more better being.,better,1
Q3: What would you improve about these workshops?,A3: I would improve to make better things.,would improv make better thing,1
Q3: What would you improve about these workshops?,A: To make the spoken word better.,make spoken word better,1
Q3: What would you improve about these workshops?,A3: I improve that I have to do better.,improv better,1
Q3: What would you improve about these workshops?,A3: I loved it.,love,1
Q3: What would you improve about these workshops?,A: Me to make my voice big and greater.,make voic big greater,1
Q3: What would you improve about these workshops?,A: Be kind to everybody.,kind everybodi,1
Q3: What would you improve about these workshops?,A: To make it better.,make better,1
Q3: My favourite part of the session was...,A: Writing our own spoken word poems because I enjoy writing poetry.,write spoken word poem enjoy write poetri,1
Q3: My favourite part of the session was...,A: The performances and videos because I loved all the topics talked about.,perform video love topic talk,1
Q3: My favourite part of the session was...,A: Making my rap because it was fun.,make rap fun,1
Q3: My favourite part of the session was...,A: Hearing other's poems because it was fun to see their point of view in what they write about.,hear other poem fun see point view write,1
Q3: My favourite part of the session was...,A: Listening to other's raps because it was interesting and fun.,listen other rap interest fun,1
Q3: What would you improve about these workshops?,A: I wouldn__ improve anything because it__ engaging & fun which is really good.,wouldnt improv anyth engag fun realli good,1
Q3: What would you improve about these workshops?,A: To be more gentle and calm.,gentl calm,1
Q3: What would you improve about these workshops?,A: It was perfect.,perfect,1
Q3: What would you improve about these workshops?,A: I would improve it by being a little bit more brave.,would improv littl bit brave,1
Q3: What would you improve about these workshops?,A: I wouldn__ improve anything as it was really nice and I feel that I have a voice that__ been heard.,wouldnt improv anyth realli nice feel voic that heard,1
Q3: What would you improve about these workshops?,A: I would make the workshops longer but recall everything else is great.,would make workshop longer recal everyth els great,1
Q3: What would you improve about these workshops?,A3: When we did them they were too loud and make my ears hurt so I say we be a bit more quiet,loud make ear hurt say bit quiet,1
Q3: What would you improve about these workshops?,A: It__ okay how it is.,okay,1
Q3: What would you improve about these workshops?,"A3: More than 1 person each workshop, more fun activities.",person workshop fun activ,1
Q3: What would you improve about these workshops?,A3: Add more activities and more fun.,add activ fun,1
Q3: What would you improve about these workshops?,A3: I would improve that I could be more fun!,would improv could fun,1
