question,answer,preprocessed_answer,sentiment
Q4: Any further feedback or comments?,A4: I'll miss Yossi and spoken word ,ill miss yossi spoken word,1
Q4: Any further feedback or comments?,A4: More games!!! ,game,0
Q4. Any further feedback or comments?,A4. More games ,game,0
Q4. Any further feedback or comments?,A4. When anyone was present they can a deep breath so they can have a long voice. ,anyon present deep breath long voic,0
Q4: Any further feedback or comments?,A4: I really like how respectful people were and the games we played. ,realli like respect peopl game play,1
Q4: Any further feedback or comments?,A4: I liked it and it was fun when playing games. ,like fun play game,1
Q4: To make the session even better next time we could...,A: There was less pressure to perform. ,less pressur perform,0
Q4: To make the session even better next time we could...,"A: Have more performances, less lectures. ",perform less lectur,0
Q4: Any further feedback or comments?,A: Further feedback is that I would recommend it to others. ,feedback would recommend other,1
Q4: Any further feedback or comments?,A: Do any [what] you want don__ be a bad person. ,want dont bad person,0
Q4: Any further feedback or comments?,A4: I would like to have more fun games. ,would like fun game,0
Q4: Any further feedback or comments?,A4: I have enjoyed the workshop ,enjoy workshop,1
Q4: Any further feedback or comments?,A: I loved doing the workshop and it was super duper FUN! By Sumayyah H. ,love workshop super duper fun sumayyah h,1
Q4: Any further feedback or comments?,"A: All I want to say is, I loved those topics. ",want say love topic,1
Q4: Any further feedback or comments?,A: I love this workshop. ,love workshop,1
Q4: Any further feedback or comments?,A: He is the best teacher that I have seen. ,best teacher seen,1
Q4: Any further feedback or comments?,A: Xashia was the best. ,xashia best,1
Q4: Any further feedback or comments?,A: Yose is the best (Unintelligible text) ,yose best unintellig text,1
Q4: Any further feedback or comments?,A4: I rate this a 5 star. It is the best workshop I have had. ,rate star best workshop,1
Q4: Any further feedback or comments?,A4: Very good teacher! ,good teacher,1
Q4: Any further feedback or comments?,A4: They were the best! ,best,1
Q4: To make the session even better next time we could_,A: Make the first part shorter. ,make first part shorter,1
Q4: To make the session even better next time we could...,A4: IT WAS GOOD!,good,1
Q4: Any further feedback or comments?,A4: I would love you to come back again ,would love come back,1
Q4: Any further feedback or comments?,A4: I enjoyed the session,enjoy session,1
Q4: Any further feedback or comments?,A4: I would love you to come back again. ,would love come back,1
Q4: Any further feedback or comments?,A: I loved doing these workshops! I love it! -Niyah ,love workshop love niyah,1
Q4: Any further feedback or comments?,A: More fun. ,fun,1
Q4: Any further feedback or comments?,"A: Good workshops, thank you!!! ",good workshop thank,1
Q4: Any further feedback or comments?,A: I really enjoyed these workshops. ,realli enjoy workshop,1
Q4: Any further feedback or comments?,A: I really love how we can be creative.  ,realli love creativ,1
Q4. Any further feedback or comments?,A4. Pls Thank you Yossi! This was the best workshop! ,pl thank yossi best workshop,1
Q4. Any further feedback or comments?,A4. And Yossi is the fun man. ,yossi fun man,1
Q4. Any further feedback or comments?,A4. These workshops are fun :) #RAP RULES ,workshop fun rap rule,1
Q4. Any further feedback or comments?,A4. Spoken word fun. ,spoken word fun,1
Q4. Any further feedback or comments?,A4. I was right about bringing my English book outside.,right bring english book outsid,1
Q4. Any further feedback or comments?,A4. Yossi is a great spoken word teacher and I love him. ,yossi great spoken word teacher love,1
Q4. Any further feedback or comments?,A4. People need to stop being shy perform there poems with a loud voice ,peopl need stop shi perform poem loud voic,1
Q4. Any further feedback or comments?,A4. I loved how we all got a chance to perform our poems. ,love got chanc perform poem,1
Q4. Any further feedback or comments?,A4. I enjoyed it very much. ,enjoy much,1
Q4 Any further feedback or comments?,A4 I loved the workshop because I loved to express myself ,love workshop love express,1
Q4: Any further feedback or comments?,A4: I really liked and it is a good thing. ,realli like good thing,1
Q4: Any further feedback or comments?,A4: It was fun and enjoying. ,fun enjoy,1
Q4: Any further feedback or comments?,A4: KEEP UP THE GREAT WORK JOSH AND YOUR HELPERS! ,keep great work josh helper,1
Q4: Any further feedback or comments?,A4: To do the best you can and if you don't have stage fright you should read out your writing. ,best dont stage fright read write,1
Q4: Any further feedback or comments?,A4: It made me feel happy and calm. ,made feel happi calm,1
Q4: Any further feedback or comments?,A: I really enjoyed it and I would love to come again. ,realli enjoy would love come,1
Q4: Any further feedback or comments?,"A: It was fun, and I personally enjoyed it. I learned how to also make a poem. ",fun person enjoy learn also make poem,1
Q4: To make the session even better next time we could...,A: N/A (I loved it). ,na love,1
Q4: Any further feedback or comments?,A: I think that this has been the best workshop and it was really nice. I am very sad that this has to be the last lesson. ,think best workshop realli nice sad last lesson,1
Q4: Any further feedback or comments?,A: I liked to do fun things in the workshops. ,like fun thing workshop,1
Q4: Any further feedback or comments?,A: The feedback I would say is that more young people should have a chance. ,feedback would say young peopl chanc,1
Q4: Any further feedback or comments?,A: I liked to do fun things in the workshops. ,like fun thing workshop,1
